state_name,city,"ROUND(AVG(Median),1)"
Georgia,Milton,300000
Hawaii,Haiku,300000
Idaho,Hope,300000
Illinois,Opdyke,300000
Illinois,Marine,300000
Illinois,Beardstown,300000
Illinois,"River Grove",300000
Illinois,Altamont,300000
Indiana,Burnettsville,300000
Indiana,Culver,300000
Iowa,Barnum,300000
Iowa,Garnavillo,300000
Iowa,Rockwell,300000
Iowa,Cresco,300000
Kansas,Argonia,300000
Kentucky,Hickman,300000
Louisiana,Cecilia,300000
Maine,Gorham,300000
Maryland,Freeland,300000
Maryland,Oakland,300000
Maryland,Burtonsville,300000
Maryland,"Takoma Park",300000
Massachusetts,Swansea,300000
Massachusetts,"Turners Falls",300000
Massachusetts,Burlington,300000
Massachusetts,Templeton,300000
Missouri,Foristell,300000
"New Hampshire","Ctr. Barnstead",300000
"New Hampshire",Hanover,300000
"New Hampshire",Hudson,300000
"New Jersey","Mays Landing",300000
"New Jersey",Haworth,300000
"New Jersey",Cinnaminson,300000
"New Jersey",Seabrook,300000
"New Jersey",Fairfield,300000
"New Jersey",Flemington,300000
"New Jersey",Pennington,300000
"New Jersey",Blairstown,300000
"New Jersey",Hackettstown,300000
"New York","Howard Beach",300000
"New York",Oakdale,300000
"New York","Center Moriches",300000
"New York","Rye Brook",300000
"New York","Port Jefferson",300000
"New York",Chatham,300000
"New York",Derby,300000
"North Carolina",Faison,300000
Ohio,Anna,300000
Ohio,Louisville,300000
Ohio,Dellroy,300000
Ohio,Powell,300000
Ohio,Dola,300000
Ohio,"Plain City",300000
Oklahoma,Holdenville,300000
Oklahoma,Wagoner,300000
Oregon,"Eagle Creek",300000
Oregon,Sunriver,300000
Oregon,Parkdale,300000
Oregon,"Hood River",300000
Pennsylvania,Turbotville,300000
Pennsylvania,Topton,300000
Pennsylvania,Tyrone,300000
Pennsylvania,Mercersburg,300000
Pennsylvania,"Old Forge",300000
Pennsylvania,Drums,300000
"South Carolina","Pawleys Island",300000
"South Dakota",Selby,300000
Texas,"Highland Village",300000
Texas,Jarrell,300000
Texas,Frankston,300000
Vermont,Milton,300000
Washington,Cashmere,300000
Washington,Vashon,300000
"West Virginia",Pickens,300000
"West Virginia",Chapmanville,300000
Wisconsin,Altoona,300000
Wyoming,Upton,300000
Wyoming,Cody,300000
Alabama,Helena,300000
Alabama,"Phil Campbell",300000
Alabama,Marbury,300000
Alabama,"Gulf Shores",300000
Alabama,Lafayette,300000
Alabama,"Spring Garden",300000
Alabama,"Fort Payne",300000
Alabama,Vina,300000
Alabama,Arab,300000
Alabama,Saraland,300000
Alabama,Marion,300000
Alabama,Pelham,300000
Alaska,Anderson,300000
Alaska,"False Pass",300000
Alaska,Haines,300000
Alaska,"Sheldon Point",300000
Alaska,"St. George",300000
Alaska,"Delta Junction",300000
Alaska,Chugiak,300000
Alaska,Girdwood,300000
Arizona,"Tonto Basin",300000
Arizona,Cornville,300000
Arkansas,Saratoga,300000
Arkansas,Harrison,300000
California,Bieber,300000
California,Blocksburg,300000
California,"Bodega Bay",300000
California,Riverdale,300000
California,Herlong,300000
California,Somerset,300000
California,Kensington,300000
California,"Big Creek",300000
California,Inyokern,300000
California,"Mission Hills",300000
California,Pacomia,300000
California,Calabasas,300000
California,Agoura,300000
California,"Agoura Hills",300000
California,Topanga,300000
California,"Corte Madera",300000
California,Hilmar,300000
California,Calistoga,300000
California,"Yorba Linda",300000
California,"Coto De Caza",300000
California,Winchester,300000
California,Anza,300000
California,"Gold River",300000
California,Hercules,300000
California,"West Sacramento",300000
