state_name,city,"ROUND(AVG(Mean),1)"
Minnesota,Minnetrista,138355
"New Jersey","Red Bank",138269.5
Maryland,Millersville,138100.3
Connecticut,"Sandy Hook",138007
"New York",Irvington,137888
California,"Oak Park",137752
"New York","North Salem",137645
Connecticut,Simsbury,137616
Colorado,Monument,137560
California,"Pacific Palisades",137489
"New Jersey","New Providence",137386
Pennsylvania,Jenkintown,137309
Pennsylvania,Bridgeport,137239
Virginia,Vienna,137181
"New Jersey","Port Monmouth",137128
Pennsylvania,Orefield,137092
California,"Yorba Linda",137065.5
Utah,Highland,136964.5
Virginia,Herndon,136894.2
Massachusetts,Shrewsbury,136849
"New Jersey","Woodcliff Lake",136839
Massachusetts,Bedford,136709
California,Topanga,136693
Kansas,Shawnee,136646.5
Massachusetts,Concord,136270
"New York",Merrick,136081
"New Jersey",Teaneck,136068.2
Pennsylvania,Muse,135995
Michigan,"Bloomfield Hills",135910.5
"New Jersey",Brielle,135838.5
Connecticut,Tolland,135825
"New York","South Salem",135718.5
Utah,"South Weber",135672
Kansas,Leawood,135651.5
Ohio,"Pepper Pike",135426
Maryland,Monrovia,135358
"New York",Smithtown,135045
Virginia,Fairfax,134946
"New Jersey",Bernardsville,134879
"New York","Old Westbury",134755.5
Virginia,Sterling,134729.2
Pennsylvania,Warrington,134721
"New Jersey",Metuchen,134666.5
Kentucky,Simpsonville,134599
Florida,"Palmetto Bay",134489.3
"New Jersey",Watchung,134247
Ohio,"Olmsted Falls",134124
Texas,Murphy,133859
Texas,Prosper,133798.5
"New York",Hauppauge,133645.5
"New Jersey",Hoboken,133515
Massachusetts,Stow,133513.5
"New Jersey",Summit,133450.5
Alaska,Chugiak,133300
Washington,Redmond,133288.9
Virginia,Moseley,133213
Massachusetts,"East Walpole",133200
Massachusetts,Milton,132958.5
"New York",Poughquag,132844
Massachusetts,Canton,132835.5
"New Jersey",Morristown,132833.2
California,"Granite Bay",132808
Maryland,Woodbine,132561
California,"Hermosa Beach",132479
"New Jersey",Lebanon,132461
Pennsylvania,"Lafayette Hill",132413.5
Massachusetts,Duxbury,132395
Georgia,"Johns Creek",132371
Massachusetts,Wenham,132348
Massachusetts,"West Newbury",132284
Illinois,"Lake Zurich",132090.8
"Rhode Island",Barrington,131964.5
Pennsylvania,"Elkins Park",131911
Pennsylvania,"Blue Bell",131882.5
"New York","East Rockaway",131863.5
"South Carolina",Charlotte,131786
California,"Palo Alto",131706.1
Connecticut,Greenwich,131658.6
Ohio,Galena,131494
"New York",Eastchester,131455.5
"New Jersey","Green Brook",131339
Illinois,Geneva,131237
California,"Del Mar",131231
Massachusetts,Lakeville,131209
Utah,Draper,131085
"New Jersey",Jamesburg,130971
"New York","Stony Point",130934
Michigan,"Huntington Woods",130922
"New York",Pittsford,130820
Tennessee,"Lookout Mtn",130813
