state_name,city,"ROUND(AVG(Mean),1)"
"New York",Arverne,84274.5
Kansas,Tonganoxie,84274
Wisconsin,"Big Bend",84263
Indiana,Burnettsville,84247
"New York","Little Neck",84246.3
Texas,Warren,84246
Michigan,Fruitport,84242
Nevada,Elko,84232.2
Wisconsin,Marshall,84184
"New Hampshire",Warner,84167
Indiana,"Rolling Prairie",84160
Tennessee,Loudon,84149
Colorado,Rangely,84145
Iowa,Donahue,84138
Nevada,Orovada,84119
Indiana,Greenwood,84113.4
Maryland,"Ocean City",84092
Iowa,Clarence,84083
California,"Redwood Valley",84082
Kentucky,Burlington,84077.7
Massachusetts,"North Weymouth",84037
Virginia,Chesterfield,84026
Massachusetts,Norton,84024
Washington,Sumner,83999
Ohio,Sunbury,83951
Kentucky,Taylorsville,83950.5
California,Sonoma,83941.7
"New York","La Fargeville",83940
California,"San Pedro",83938.2
Michigan,"Royal Oak",83927
Massachusetts,Somerset,83904
Wisconsin,Lodi,83882
Ohio,Galloway,83859
"New York",Quogue,83855
Oklahoma,Mustang,83849
California,Covina,83829.6
Alabama,Homewood,83769.5
California,Shasta,83754
Massachusetts,Kingston,83744
Missouri,O'fallon,83741.5
"South Carolina",Summerville,83706.4
"New Hampshire",Derry,83690
Texas,Converse,83680.5
Connecticut,Berlin,83663
Ohio,Brookfield,83651
Missouri,"Pleasant Hill",83647
Illinois,Niles,83646.5
"New Jersey","Egg Harbor Township",83644
Missouri,Faucett,83644
Florida,"Winter Springs",83643
Ohio,Holland,83621.5
"New York",Marcy,83609.5
Massachusetts,Templeton,83602
Iowa,"Sergeant Bluff",83593
Maine,Harpswell,83554
"New York","East Moriches",83554
Illinois,Romeoville,83551.5
Illinois,Lansing,83550
Georgia,Kathleen,83542.5
"New Jersey",Neptune,83525
Florida,Estero,83515.7
Colorado,Telluride,83514
Virginia,Fredericksburg,83512.4
Connecticut,"North Stonington",83510
"North Carolina",Southport,83505.8
Pennsylvania,"Evans City",83503
Connecticut,Lakeville,83471
Virginia,Wirtz,83415
"New York",Clarence,83414
Michigan,Portland,83401
Ohio,Pataskala,83361.5
"New York",Brockport,83354.3
Illinois,Valmeyer,83353
Indiana,Zionsville,83345
California,"San Leandro",83304
Missouri,Barnhart,83284
Vermont,Shelburne,83283.5
Indiana,Rockville,83268
"Rhode Island",Warren,83266.5
Connecticut,Preston,83250
California,Esparto,83250
California,"Ben Lomond",83248
Iowa,Winfield,83223
California,Orcutt,83220.3
Ohio,Arlington,83218
Pennsylvania,"West Lawn",83204
Pennsylvania,Perkasie,83188
Virginia,Chesapeake,83186.2
Indiana,Dayton,83183
Nebraska,"Platte Center",83169
Illinois,Highland,83166
Maryland,"Park Hall",83137
Colorado,Thornton,83133
Illinois,Fisher,83131
California,Downey,83078.2
California,Tehachapi,83063
"New York",Akron,83050.5
Georgia,Greensboro,83026
Arkansas,Rogers,83023.5
Oregon,Clackamas,83022
"New York",Copiague,83005
Washington,Renton,83002.2
Minnesota,"Fergus Falls",83002
"New York",Marcellus,82992
"New Jersey","Long Branch",82986.7
Alaska,"Fritz Creek",82980
Iowa,Indianola,82979
Iowa,Letts,82957
Pennsylvania,Atglen,82952
"New Jersey",Hillside,82936.3
Texas,Edna,82936
Florida,Miramar,82926.8
"New York",Fabius,82923
"New York",Queensbury,82922
Florida,Yulee,82905
Tennessee,"Mt. Juliet",82891
Massachusetts,Edgartown,82883
Washington,Kent,82880.6
"New Jersey",Leonardo,82880
Wisconsin,"Sun Prairie",82879.2
California,Imperial,82874
Nebraska,Mead,82869
Indiana,Brookston,82844
Pennsylvania,Hereford,82844
California,Arcadia,82843.6
California,"Laguna Beach",82834.3
"New York","Middle Island",82828
Illinois,"Oak Forest",82793
"North Carolina",Concord,82786.7
Colorado,Breckenridge,82784
Massachusetts,Hull,82780
California,Gilroy,82760.6
California,"Shingle Springs",82758
Connecticut,Chaplin,82752
Ohio,Waterville,82746
Colorado,"New Castle",82743
Massachusetts,Rockland,82704
Indiana,Whitestown,82701
Washington,Edison,82682
"New Jersey",Absecon,82679.5
Oregon,Monmouth,82678
Florida,"Winter Garden",82675
Washington,Puyallup,82667.9
Pennsylvania,Mechanicsburg,82649.1
Indiana,Valparaiso,82589.6
Pennsylvania,Audubon,82577
Ohio,Monroe,82565
"New York",Peru,82560.5
Texas,Montgomery,82554
Pennsylvania,Mars,82535
Missouri,"St Peters",82529.8
Minnesota,Bloomington,82525.1
"New York",Saranac,82523
Texas,Carrollton,82515.4
"New York",Delanson,82484
Indiana,Fremont,82466.5
California,Sausalito,82460.5
Pennsylvania,Landisville,82458
Iowa,"Swea City",82452.5
Illinois,Montgomery,82441.5
Georgia,Sharpsburg,82432
Missouri,Peculiar,82428
Florida,"Miami Shores",82413
Utah,"Heber City",82402
"New York",Hollis,82400.6
"North Dakota",Hunter,82395
California,Larkspur,82393
Wisconsin,Hammond,82364
Illinois,Rockton,82362
"New York",Roosevelt,82338
Texas,"Glenn Heights",82311
Montana,Nye,82305
California,Pasadena,82274.2
Indiana,Greenville,82258
Michigan,Fowler,82243
Kansas,Moundridge,82235
Maryland,Catonsville,82212.5
Illinois,Lindenhurst,82196.5
Washington,"N. Lakewood",82195
Florida,"Green Cove Springs",82163
Oklahoma,Mooreland,82139
Illinois,Viola,82138
"New Hampshire",Penacook,82095
Michigan,Clarkston,82094
Michigan,Delton,82092
"South Carolina","Hilton Head Island",82064.8
"North Dakota",Casselton,82054
Missouri,Nixa,82053
Connecticut,"North Branford",82036
"New York",Whitesboro,82033
"New Jersey",Hammonton,82032
Pennsylvania,Glenside,82030
Illinois,"Orland Park",82021
Illinois,"Hickory Hills",82017.5
Texas,Ponder,82007
Ohio,Mayfield,82002
"New York",Otisville,81998.5
"New Jersey",Newfield,81965
"North Dakota","South Heart",81949
Utah,Tooele,81939.5
Texas,Muenster,81928
Texas,Hurst,81920.3
Wisconsin,Waupun,81905
"New York",Monsey,81902.5
"North Carolina",Hillsborough,81891
"North Carolina",Knightdale,81874.5
Arizona,"Fountain Hills",81844.5
Florida,"Satellite Beach",81821
"New York",Baldwinsville,81783.3
"New York",Yonkers,81780.4
Illinois,Warrenville,81778
Michigan,Dorr,81771
Washington,"Brush Prairie",81760.7
Alaska,Sterling,81749
California,"South Lake Tahoe",81722.3
Nebraska,Hildreth,81722
Virginia,Goodview,81712
"North Carolina",Newport,81710.2
Delaware,Claymont,81708
"West Virginia",Pickens,81695
"New York",Brentwood,81673.5
Nevada,Ely,81646
Texas,"Cedar Creek",81606
Georgia,Mansfield,81606
Ohio,Chardon,81605.5
Oregon,Estacada,81581
California,Martinez,81559.4
Michigan,Livonia,81551.9
"New York","Long Island City",81550.4
Connecticut,"Beacon Falls",81536
Colorado,Carbondale,81522
"New Jersey",Clifton,81500.2
Illinois,Brookfield,81479
Washington,Poulsbo,81463.7
Illinois,Skokie,81455.3
Pennsylvania,Avella,81454
Washington,Ritzville,81437
"New Jersey",Keyport,81435
Pennsylvania,"Mount Wolf",81428
"South Dakota",Renner,81424.5
Vermont,Dorset,81414
Connecticut,Bloomfield,81403.7
Wisconsin,Franklin,81402.5
"South Carolina","Little Mountain",81399
Texas,Crandall,81393.7
"New York",Sauquoit,81387
Kentucky,Alvaton,81386
Alaska,Skagway,81352
"New Hampshire",Barrington,81351
"New York",Stillwater,81341
Washington,"Gold Bar",81325
Texas,"Port Neches",81316
Texas,"Tom Bean",81305
Massachusetts,Hadley,81291
California,"La Habra",81280.7
Wisconsin,Rothschild,81263
Texas,"Ben Bolt",81261
"New York","Port Byron",81255
Oregon,Warren,81250
"New Mexico",Tijeras,81248
Texas,Skidmore,81234
Washington,Cashmere,81230
Wisconsin,Ellsworth,81224
Minnesota,Hallock,81214
Michigan,Edwardsburg,81201
Ohio,Milan,81178
"New Hampshire",Exeter,81177.5
Mississippi,Hurley,81144
Texas,Addison,81139
Ohio,Tontogany,81126
Alabama,Alabaster,81118.3
Arkansas,Sherwood,81117.7
Texas,Euless,81106.9
"New York",Saugerties,81106
"New York",Newburgh,81097.2
Virginia,"North Garden",81089
Minnesota,Starbuck,81089
"North Carolina",Highlands,81065
"New Jersey",Williamstown,81062.6
Nevada,Smith,81061.5
Alabama,Wetumpka,81059
Ohio,Waterford,81056
Connecticut,Vernon,81050
Iowa,Crescent,81049
Massachusetts,Granby,81043
"New Jersey",Rockaway,81034
Michigan,Schoolcraft,81023
California,"West Hills",81006.4
Maryland,Sudlersville,81002
Virginia,Culpeper,81000
Alabama,Kimberly,80998
Pennsylvania,Sharon,80975
Minnesota,Oakdale,80946
Ohio,Stow,80945
Texas,Magnolia,80920.7
Massachusetts,Middleborough,80881
Connecticut,Unionville,80873
Mississippi,Tylertown,80856
Pennsylvania,"Willow Grove",80833.3
"North Dakota",Belcourt,80827
Georgia,Perry,80802
Kentucky,"Park Hills",80775
Texas,"La Vista",80772
Arizona,Oracle,80766
California,Menifee,80746.5
Alabama,Harvest,80729
Illinois,Oneida,80725
Connecticut,Niantic,80710
Pennsylvania,"East Petersburg",80695
Georgia,Fayetteville,80686.3
Virginia,Washington,80678
Missouri,"Blue Springs",80676.2
Ohio,Pickerington,80657
Michigan,"Harrison Township",80649
Minnesota,"Saint Francis",80648
"New York","East Aurora",80647.5
Indiana,Daleville,80646
Maine,Freeport,80645
Utah,Farmington,80641
Connecticut,Manchester,80609.4
California,Lodi,80606.1
Minnesota,Annandale,80601.5
Tennessee,Hixson,80588.3
Texas,Taft,80574
"New Jersey",Greenwich,80564
Texas,Moulton,80553
Florida,"Wesley Chapel",80551.5
Florida,Trinity,80547
Georgia,Tucker,80525.2
"South Dakota",Hayti,80501
Ohio,"Lewis Center",80500.5
Texas,Midlothian,80497.8
California,Claremont,80489
"New York",Copenhagen,80474
Texas,Danbury,80461.5
Pennsylvania,Blandon,80440.5
Oregon,Hillsboro,80437.5
Washington,Marysville,80430
Ohio,Northfield,80420
"New Mexico",Tatum,80419
Massachusetts,Ludlow,80398
Vermont,Richmond,80395
Michigan,"Whitmore Lake",80383.5
Louisiana,Berwick,80366
Colorado,Aspen,80365
Texas,Pattison,80341
Oregon,"Hood River",80334
Texas,"Glen Rose",80334
California,Buellton,80327
Illinois,Homewood,80326
Illinois,Pawnee,80321
Michigan,Temperance,80307.5
Texas,Austin,80293.6
"New York","North Rose",80282
"New Jersey",Elmer,80261
"New Jersey",Elwood,80252
Iowa,"Middle Amana",80243
Tennessee,"Cross Plains",80231
California,"Rohnert Park",80212.2
California,"Grizzly Flat",80195
Maryland,Hyattsville,80181.9
"New Hampshire",Rollinsford,80179
Mississippi,Brandon,80178.7
Ohio,London,80169
Pennsylvania,Slatington,80157
Iowa,"North Liberty",80156
Massachusetts,Randolph,80143
Pennsylvania,"East Prospect",80131
Maryland,Newark,80127.5
Illinois,Bloomingdale,80102.5
Oklahoma,Owasso,80072.3
Indiana,Leo,80070
Ohio,"Tipp City",80070
Illinois,Streamwood,80064.3
"West Virginia",Hurricane,80061.7
Pennsylvania,"Glen Rock",80060
Maine,Saco,80054
Massachusetts,Cambridge,80046.1
"New York",Vestal,80043
Alaska,Sitka,80041
Virginia,"King William",80029
Virginia,Forest,80028
Maryland,Conowingo,80025
California,Creston,80023
Massachusetts,Ashland,80009
Louisiana,"Des Allemands",80007
Massachusetts,Rockport,80000
"New Jersey",Stillwater,79981
"New York",Hilton,79979
Pennsylvania,Shanksville,79969
Alaska,Fairbanks,79965.2
Iowa,Stanton,79958
Maine,Woolwich,79956
Arizona,Sedona,79936.5
Texas,"North Richland Hills",79921
Pennsylvania,Croydon,79920
Colorado,Westminster,79896
"New Jersey",Chatsworth,79895
Ohio,Bellbrook,79893
Texas,"Blue Ridge",79883
Maryland,"Glen Burnie",79881.8
Michigan,"Shelby Township",79871
Wisconsin,Marathon,79870
Georgia,Waleska,79863
Washington,Joyce,79849
Illinois,Mazon,79848
Illinois,Lexington,79829
Connecticut,Pawcatuck,79825
"New York","Staten Island",79823.5
Pennsylvania,"Spring City",79795
Massachusetts,Ashfield,79780
Minnesota,"White Bear Lake",79777.3
Illinois,Caseyville,79764
Texas,Kaufman,79760
"New Jersey",Hackettstown,79758
California,Exeter,79757
"New Jersey",Linden,79757
Maryland,Middletown,79729
Minnesota,"Forest Lake",79726.5
Virginia,Williamsburg,79716.6
Illinois,Kirkland,79713
Wisconsin,Wauwatosa,79684.7
Wisconsin,Jackson,79683
Texas,Bedford,79670.7
Louisiana,Zachary,79647
Hawaii,Kahuku,79621
Wisconsin,Waukesha,79615
Nebraska,Lodgepole,79595
Massachusetts,Sturbridge,79570
Washington,Vashon,79566
Wisconsin,Waupaca,79556.5
Maryland,"New Carrollton",79554.5
Wisconsin,Bristol,79548.5
"New York",Fishkill,79533
Ohio,"South Vienna",79503
Wyoming,Sinclair,79492
Wyoming,Douglas,79488
Michigan,Clawson,79463.5
"New Hampshire","Ctr. Barnstead",79446
Connecticut,"North Grosvenor",79434
Pennsylvania,Beaver,79427
Pennsylvania,Media,79427
California,Fullerton,79418.5
Ohio,Springboro,79409
"New York",Selkirk,79396
Illinois,Broadview,79374
"New York",Beacon,79365
California,Chico,79356.4
Texas,Burton,79338
Wisconsin,Stockbridge,79335
Illinois,Manhattan,79334
Illinois,Highwood,79326
Utah,Kamas,79315.5
"New York",Chittenango,79311
Michigan,Kimball,79290.5
Maryland,Beltsville,79275
Pennsylvania,Souderton,79270
"South Carolina",Simpsonville,79264.2
Michigan,Davison,79261.2
California,Strathmore,79255
California,Angwin,79252
Pennsylvania,Holtwood,79224.5
Georgia,Rex,79222
Pennsylvania,Shohola,79216
California,Sunland,79207
Pennsylvania,Denver,79187.7
Louisiana,Metairie,79158.8
Minnesota,Cologne,79155
"North Carolina",Kernersville,79150.8
Illinois,Breese,79136.5
Massachusetts,Boston,79133.1
Wisconsin,Dousman,79132
Pennsylvania,Royersford,79119
Connecticut,Terryville,79117
Maryland,Westminster,79110.3
"New Jersey",Totowa,79081
Louisiana,Norco,79070.3
"New Jersey",Atco,79064.5
Louisiana,Maurepas,79061
Iowa,Grimes,79034
Pennsylvania,"Picture Rocks",79025
Virginia,Broadway,79021
Colorado,Edgewater,79018.5
Minnesota,Hayfield,79013
"New York",Hamburg,79009.2
"New York","Pine Plains",79003
Pennsylvania,Whitehall,78997
Michigan,"Grand Haven",78959.3
Florida,"St Augustine",78954.6
Ohio,Brunswick,78949
Tennessee,Sewanee,78940
Kansas,"Ft. Riley",78930
Minnesota,Morristown,78913
Maine,"South Bristol",78904
Illinois,"Rolling Meadows",78900
Wisconsin,"De Forest",78900
Pennsylvania,Conestoga,78895
Utah,"Salt Lake City",78847.6
Oregon,Dundee,78847
"New Jersey",Oaklyn,78820
"New Jersey","Union Beach",78814
California,"Pauma Valley",78807
Indiana,Newburgh,78806.2
"South Dakota",Iroquois,78796
Ohio,Ottawa,78795
"New York",Apalachin,78790
Florida,Crestview,78789.5
Alabama,Russellville,78787
Louisiana,"Dry  Prong",78771
Montana,Ulm,78770
Minnesota,Nicollet,78769
Pennsylvania,Drums,78768
Pennsylvania,"Clarks Summit",78766
Mississippi,Clinton,78748
Vermont,"South Hero",78704
California,"Signal Hill",78694
"New York","Ballston Spa",78689.5
"New Hampshire",Durham,78689
Colorado,Eaton,78677
Illinois,Williamsville,78659.5
Kentucky,Morehead,78653
California,Litchfield,78642
Wyoming,Diamondville,78640
Minnesota,Shoreview,78639
Missouri,Raymore,78631
California,"Bay Point",78622.5
Texas,Poth,78608
"New York","Penn Yan",78604
Missouri,"Wright City",78581
Alaska,Petersburg,78533.5
Iowa,Emmetsburg,78522
Texas,Pleasanton,78521
"New York","Pleasant Valley",78504
Massachusetts,Peabody,78500.2
Ohio,"North Canton",78496.7
Utah,Roosevelt,78481
Texas,Nash,78469
California,Glendale,78447.1
Florida,Alachua,78442.5
Arizona,"Sierra Vista",78433.2
Kentucky,Hiseville,78432
California,Oakley,78430.5
Ohio,Anna,78428
Hawaii,Lahaina,78416
"New York",Aurora,78412
Virginia,Churchville,78411
Alabama,Chelsea,78399
Washington,"Bonney Lake",78397.5
Washington,Rockford,78389
Texas,Jarrell,78386
Minnesota,"North Branch",78346
Missouri,Union,78320
Florida,"Land O Lakes",78316.3
Alabama,Hartselle,78301
Florida,Jupiter,78286
Virginia,Halifax,78282
Texas,Bullard,78281
"New York","Middle Village",78277.8
Arkansas,Cabot,78277
Texas,Woodway,78264.2
Massachusetts,Westport,78260
Utah,Taylorsville,78259.7
Kentucky,Bellevue,78257
Iowa,"Cedar Rapids",78246.5
Michigan,Fowlerville,78232
Illinois,"Round Lake Beach",78207
"North Dakota","New Rockford",78205
Minnesota,"Blue Earth",78201
Colorado,Weldona,78180
California,Cambria,78162
Illinois,"Wood Dale",78161.5
Michigan,"Grosse Ile",78148
"South Carolina",Clinton,78146
Utah,Willard,78134
California,"Paso Robles",78132.7
Michigan,"Allen Park",78132.3
Maryland,Pittsville,78128
"South Carolina",Hollywood,78102
Georgia,Dallas,78098.8
Washington,Lynnwood,78088.7
Maryland,"Clear Spring",78082.2
Texas,Columbus,78057
Texas,Seminole,78019
"New York",Camillus,78017
Maine,Wells,78017
Florida,Riverview,78014
Washington,Arlington,78008
"West Virginia",Stanaford,78008
Michigan,Farmington,78006.5
Minnesota,"Rush City",78003
Wisconsin,"Howards Grove",78002
Oregon,Ashland,77999
Ohio,Streetsboro,77998
Colorado,Longmont,77983.2
Georgia,Stockbridge,77978.5
Florida,"Cocoa Beach",77971.3
Florida,"Rotonda West",77971
Alabama,"Dauphin Island",77948
California,Duarte,77921.2
Nebraska,Malcolm,77908
"New York","Saint Albans",77902
Minnesota,"Le Center",77902
"South Dakota",Mellette,77897
Delaware,Smyrna,77888
Ohio,Twinsburg,77880.3
Arizona,"San Tan Valley",77859
Illinois,"New Berlin",77859
Illinois,Bensenville,77847.5
Illinois,Tolono,77819
Kansas,Allen,77801
Kentucky,Brandenburg,77790
Minnesota,"Elk River",77788
Missouri,"University City",77778
Florida,Clermont,77772.3
Virginia,"Virginia Beach",77764.6
Pennsylvania,Quarryville,77762
Iowa,Decorah,77761.5
"New York",Potsdam,77751
Iowa,Moville,77747
Indiana,Fillmore,77737
Minnesota,Superior,77737
California,"El Cajon",77735.2
Utah,Mendon,77728
Pennsylvania,Hellertown,77726
Massachusetts,"North Dartmouth",77717
Oklahoma,Yukon,77710.4
Missouri,Arnold,77710
Indiana,Highland,77704.3
"New Hampshire",Concord,77695.7
Texas,Portland,77695
Michigan,Portage,77675
California,Sylmar,77652.3
Texas,Andrews,77651
"New Jersey",Avenel,77648
Nevada,Duckwater,77643
California,"Chula Vista",77633.4
Florida,"Royal Palm Beach",77632
Texas,Grapevine,77607
Colorado,Durango,77593
Georgia,Snellville,77589.1
"West Virginia",Morgaantown,77570.5
Pennsylvania,"Pocono Pines",77570.5
Georgia,Taylorsville,77568
Illinois,Lockport,77557.6
Maryland,"Ft Meade",77556
Utah,Clinton,77538.5
Washington,Brewster,77531
Ohio,Whitehouse,77530
Illinois,Morton,77526.5
"New Jersey",Hackensack,77505
Ohio,Bedford,77500.2
Maine,Veazie,77493
California,"Bermuda Dunes",77483
Kansas,Maize,77470
Wisconsin,"Fall Creek",77453
Florida,"Lake Park",77452
"New York",Selden,77438
"New Jersey",Raritan,77418
Ohio,East,77402
Iowa,"Cedar Falls",77382.4
Texas,"New Braunfels",77380.6
Washington,Monroe,77355.5
Florida,"Tarpon Springs",77355.2
Illinois,Roscoe,77349
"New Jersey","National Park",77349
Louisiana,Homer,77337
Oregon,Beaverton,77326.4
Alabama,Higdon,77322
"New Jersey","North Middletown",77315
"North Carolina",Fairview,77301
"New Jersey","Jersey City",77297.1
Massachusetts,Auburn,77291
Utah,Wellsville,77285
Michigan,Southfield,77278.7
Illinois,Smithton,77274
Iowa,Stuart,77269
"New Jersey",Delran,77256
Florida,Brandon,77236
Maryland,"New Windsor",77234
Wisconsin,"Menomonee Falls",77220.8
Illinois,Danvers,77214.5
Florida,"Vero Beach",77203.2
"North Dakota",Parshall,77202
Indiana,Westfield,77200.5
"New York","Richmond Hill",77196.8
Utah,"West Jordan",77193.9
Washington,Eatonville,77192.5
Utah,"Brigham City",77187
Texas,Lindale,77187
Ohio,Gahanna,77184.8
Colorado,Loma,77181
Nebraska,Arlington,77179
"New York","Bolton Landing",77174
"New Jersey","West Deptford",77161
Virginia,Madison,77154
"New Hampshire",Nelson,77114
Ohio,Proctorville,77114
Pennsylvania,"West Grove",77111.5
California,"Penn Valley",77092
Alabama,Boaz,77080
"New Jersey","Gloucester City",77073
Wisconsin,Franksville,77070
Ohio,Perry,77063
"New Jersey",Ventnor,77052
California,"San Lorenzo",77037.5
Massachusetts,"West Springfield",77029
Utah,Lehi,77015.2
Oregon,Colton,77006
Maryland,"Havre De Grace",76992.7
Minnesota,"Grand Rapids",76989.7
Indiana,Nappanee,76984
Tennessee,Millington,76974.5
"North Carolina","Cape Carteret",76948
Connecticut,"Old Greenwich",76944
Utah,Milford,76943.5
Louisiana,Livonia,76933
Massachusetts,Taunton,76927.2
Minnesota,Waconia,76923
Illinois,Alhambra,76916
Pennsylvania,Hamburg,76912
Florida,Shalimar,76907.5
Oregon,"Oregon City",76906.4
California,Artesia,76899
Minnesota,"New Richland",76897
California,"Mt. Baldy",76889
Massachusetts,Upton,76887
Alaska,Homer,76885
California,Winters,76882
Texas,Needville,76875
Arizona,Lakeside,76871
Texas,Waxahachie,76861.8
Texas,Paradise,76843
Vermont,Marlboro,76842
"New Jersey",Dover,76840.5
Massachusetts,Hyannis,76834.5
"North Carolina","Holly Springs",76832
"New Jersey",Lakehurst,76800
Ohio,Elmore,76787
Pennsylvania,"Jersey Shore",76781
Georgia,Hoschton,76773
Michigan,Essexville,76763
"New Hampshire",Francestown,76762
"New York",Highland,76737
Maryland,Hebron,76731
"West Virginia",Ona,76731
Illinois,Reynolds,76729
Tennessee,"Mt Juliet",76712.5
"West Virginia",Waverly,76710
Virginia,Goochland,76694.5
Minnesota,"Brooklyn Park",76685.3
California,Weimar,76672
Indiana,Eminence,76672
Tennessee,Dickson,76643.3
Minnesota,Graceville,76634
Washington,Elma,76632.5
Minnesota,"Red Wing",76629.5
Massachusetts,Amesbury,76628.5
"New York","New Hartford",76613.7
"New Jersey",Willingboro,76603.8
Wyoming,"St Stephens",76595
"New Jersey",Pemberton,76594
"New Jersey",Phillipsburg,76591.2
Minnesota,"West Concord",76586
"New York","Big Flats",76579
Kansas,Linwood,76578
Colorado,Platteville,76577
Connecticut,Bristol,76556
"North Carolina",Stallings,76552
Massachusetts,"West Yarmouth",76551.5
Georgia,Jefferson,76551
Indiana,Woodburn,76543
"New York",Rhinebeck,76531
Maryland,Reisterstown,76529.5
Tennessee,Christiana,76527
Illinois,Somonauk,76526
Washington,"Benton City",76520.5
"Rhode Island","Block Island",76518
"New York","Queens Village",76508.3
Arizona,Morenci,76501
Illinois,"O Fallon",76489.3
Virginia,Palmyra,76482
Georgia,Atlanta,76480.7
Florida,"Madeira Beach",76477.7
Texas,Godley,76469
Wyoming,Casper,76464
Texas,Levelland,76462.5
"New York",Angola,76462
Michigan,Rockford,76434
Iowa,Granger,76433.5
Minnesota,Morgan,76387
Pennsylvania,Bainbridge,76380
Louisiana,Angola,76372
Pennsylvania,Bangor,76362.3
Texas,Florence,76355.5
Texas,Lewisville,76346.8
Pennsylvania,"New Ringgold",76345
Louisiana,Watson,76343
Ohio,Genoa,76324
California,Whittier,76287.9
Minnesota,"New Brighton",76278.3
Massachusetts,Wales,76255.5
Nevada,Minden,76247
Texas,Conroe,76234.4
California,"Arroyo Grande",76230.7
"Rhode Island",Middletown,76219.7
Illinois,Berwyn,76189
Wisconsin,Sussex,76188
Maryland,Emmitsburg,76187
Iowa,Keosauqua,76178
"New York",Spencerport,76176
Michigan,Coopersville,76173
Pennsylvania,Lampeter,76159
Indiana,Lapel,76158
Iowa,"Lone Tree",76147
Wisconsin,"Port Washington",76134
Colorado,Fruita,76130
California,"Santa Fe Springs",76128
Florida,Naples,76117.2
"South Dakota",Mitchell,76106
Colorado,Frisco,76103
Maine,Salem,76097
Virginia,Falmouth,76096
California,Avalon,76075
Pennsylvania,"Fairless Hills",76055
"New York","Central Islip",76052
Illinois,Rosemont,76048
Indiana,Clayton,76042
Virginia,Dayton,76010
Hawaii,Waimanalo,76006
"North Dakota",Crosby,75997
"New York",Henrietta,75972
Ohio,Perrysburg,75967.2
Colorado,"Steamboat Springs",75965.5
Michigan,Stevensville,75957.5
"New Jersey","Lanoka Harbor",75956
California,Monrovia,75942.2
Indiana,"Kingsford Heights",75941
Tennessee,Joelton,75940
Washington,Everett,75919.9
Illinois,Humboldt,75911
California,"Forest Falls",75910
Texas,Campbell,75893
Wisconsin,"Fish Creek",75890
Florida,Sorrento,75879
"New York",Flushing,75878
Pennsylvania,Etters,75867.5
Minnesota,Waterville,75858
"North Carolina",Kipling,75844
Illinois,Addison,75830.6
Maine,Orrington,75823
Pennsylvania,"Willow Street",75814
Colorado,"Usaf Academy",75793.5
Washington,Pasco,75790.6
Hawaii,Wailuku,75789.5
Minnesota,Roseau,75779
Tennessee,Smyrna,75763.5
California,"Buena Park",75758.2
Texas,Famersville,75756
Colorado,Granby,75751
Illinois,Sullivan,75736
Iowa,Martensdale,75727
"North Carolina","Banner Elk",75720
Texas,Hallsville,75718
Vermont,Berlin,75701
Michigan,Holly,75694
Pennsylvania,Birdsboro,75694
Texas,Hallettsville,75692
Illinois,"Clarendon Hills",75686
Pennsylvania,Bendersville,75663
Maine,Hallowell,75652
Michigan,Dryden,75652
Maryland,Hampstead,75648.5
Indiana,"West Terre Haute",75643.5
Michigan,Lowell,75628.7
California,Thermal,75619
Virginia,Mineral,75611
Wyoming,Afton,75603
Michigan,China,75597
Texas,"Garden City",75580
Minnesota,Houston,75572
California,Nuevo,75568
Pennsylvania,Saxonburg,75564.5
Georgia,"Stone Mountain",75539.8
"New York",Monticello,75537.3
Massachusetts,Wareham,75533.7
Kansas,Easton,75514
Maine,"Old Orchard Beach",75495.5
California,Reedley,75487
California,Alhambra,75486.2
Illinois,Elgin,75465.6
Massachusetts,Millbury,75455
Michigan,Clarklake,75430
Ohio,Vandalia,75425.5
Wisconsin,Birchwood,75419
Vermont,Windsor,75416
California,"Monterey Park",75413.2
"North Carolina","Indian Trail",75411.5
Minnesota,Burnsville,75411
Ohio,Carroll,75393
California,"West Sacramento",75391
Iowa,Earlville,75384.5
"South Carolina","Mt. Pleasant",75381.4
California,"Mammoth Lakes",75375
Wisconsin,Stoughton,75369
California,Oxnard,75367.1
Texas,Wolfforth,75367
Washington,Custer,75366
Ohio,Minster,75358
Kentucky,Ekron,75341
Montana,Havre,75339
Connecticut,Rowayton,75319
Pennsylvania,Glenolden,75315
"New Jersey",Quinton,75313
Oregon,"Finn Rock",75312
Minnesota,Crosslake,75307
Illinois,Warrensburg,75302.5
Illinois,"Glendale Heights",75298
Alabama,Trussville,75283
Pennsylvania,Washington,75282.8
"New Jersey",Stratford,75281.7
"New Hampshire","Ctr. Tuftonboro",75274
California,Murrieta,75272.9
Connecticut,"West Haven",75258.8
"New Jersey",Belleville,75256.5
Maryland,Forestville,75255.7
Ohio,Hamersville,75250
Ohio,Lyndhurst,75247.5
"North Dakota",Center,75220
Missouri,Imperial,75216.7
Oklahoma,Lindsay,75214
"New York","Port Chester",75211.7
Michigan,Perry,75202
Washington,Roy,75201.5
Alabama,Enterprise,75200
Illinois,Westmont,75173.7
Wyoming,Sundance,75169
Texas,Canadian,75168
Nebraska,Plattsmouth,75158
Georgia,Ringgold,75157
"New York",Montgomery,75155
Massachusetts,"North Brookfield",75147
"South Dakota",Harrisburg,75145
Connecticut,Brookfield,75138
California,"Rancho Mirage",75123
Indiana,Lowell,75115.5
Hawaii,Hilo,75110.5
